"","Index","From.Date","To.Date","PM25"
"2021-01-01 21:45:00"," 296","2021-01-01 21:45:00","2021-01-01 22:00:00","646.567175072099"
"2021-01-01 22:00:00"," 297","2021-01-01 22:00:00","2021-01-01 22:15:00","772.954541799216"
"2021-01-01 22:15:00"," 298","2021-01-01 22:15:00","2021-01-01 22:30:00","787.425782464535"
"2021-01-01 22:30:00"," 299","2021-01-01 22:30:00","2021-01-01 22:45:00","784.286500424319"
"2021-01-01 22:45:00"," 300","2021-01-01 22:45:00","2021-01-01 23:00:00","779.821527095491"
"2021-01-01 23:00:00"," 301","2021-01-01 23:00:00","2021-01-01 23:15:00","665.978938193782"
"2021-01-01 23:15:00"," 302","2021-01-01 23:15:00","2021-01-01 23:30:00","649.597413514265"
"2021-01-01 23:30:00"," 303","2021-01-01 23:30:00","2021-01-01 23:45:00","649.560397657332"
"2021-01-01 23:45:00"," 304","2021-01-01 23:45:00","2021-01-02 00:00:00","475.088289892086"
"2021-01-02"," 305","2021-01-02 00:00:00","2021-01-02 00:15:00","277.978734320686"
"2021-01-02 00:15:00"," 306","2021-01-02 00:15:00","2021-01-02 00:30:00","259.373737912266"
"2021-01-02 00:30:00"," 307","2021-01-02 00:30:00","2021-01-02 00:45:00","267.662698424281"
"2021-01-02 00:45:00"," 308","2021-01-02 00:45:00","2021-01-02 01:00:00","277.043579249649"
"2021-01-02 01:00:00"," 309","2021-01-02 01:00:00","2021-01-02 01:15:00","218.008637144524"
"2021-01-02 01:15:00"," 310","2021-01-02 01:15:00","2021-01-02 01:30:00","214.489962993972"
"2021-01-02 01:30:00"," 311","2021-01-02 01:30:00","2021-01-02 01:45:00","218.730381484175"
"2021-01-02 01:45:00"," 312","2021-01-02 01:45:00","2021-01-02 02:00:00","222.792408209438"
"2021-01-02 02:00:00"," 313","2021-01-02 02:00:00","2021-01-02 02:15:00","206.033132834684"
"2021-01-02 02:15:00"," 314","2021-01-02 02:15:00","2021-01-02 02:30:00","205.56657838045"
"2021-01-02 02:30:00"," 315","2021-01-02 02:30:00","2021-01-02 02:45:00","207.226069073835"
"2021-01-02 02:45:00"," 316","2021-01-02 02:45:00","2021-01-02 03:00:00","208.703894494328"
"2021-01-02 03:00:00"," 317","2021-01-02 03:00:00","2021-01-02 03:15:00","192.021169474036"
"2021-01-02 03:15:00"," 318","2021-01-02 03:15:00","2021-01-02 03:30:00","190.499781932289"
"2021-01-02 03:30:00"," 319","2021-01-02 03:30:00","2021-01-02 03:45:00","191.246940458316"
"2021-01-02 03:45:00"," 320","2021-01-02 03:45:00","2021-01-02 04:00:00","192.073402399646"
"2021-01-02 04:00:00"," 321","2021-01-02 04:00:00","2021-01-02 04:15:00","157.201330399445"
"2021-01-02 04:15:00"," 322","2021-01-02 04:15:00","2021-01-02 04:30:00","153.13046823779"
"2021-01-02 04:30:00"," 323","2021-01-02 04:30:00","2021-01-02 04:45:00","153.929838335278"
"2021-01-02 04:45:00"," 324","2021-01-02 04:45:00","2021-01-02 05:00:00","155.114192894529"
"2021-01-02 05:00:00"," 325","2021-01-02 05:00:00","2021-01-02 05:15:00","150.608052189834"
"2021-01-02 05:15:00"," 326","2021-01-02 05:15:00","2021-01-02 05:30:00","145.137622089554"
"2021-01-02 05:30:00"," 327","2021-01-02 05:30:00","2021-01-02 05:45:00","144.962575561217"
"2021-01-02 05:45:00"," 328","2021-01-02 05:45:00","2021-01-02 06:00:00","145.484773150559"
"2021-01-02 06:00:00"," 329","2021-01-02 06:00:00","2021-01-02 06:15:00","166.161564044142"
"2021-01-02 06:15:00"," 330","2021-01-02 06:15:00","2021-01-02 06:30:00","189.26714508472"
"2021-01-02 06:30:00"," 331","2021-01-02 06:30:00","2021-01-02 06:45:00","191.767491491088"
"2021-01-02 06:45:00"," 332","2021-01-02 06:45:00","2021-01-02 07:00:00","191.069273012642"
"2021-01-02 07:00:00"," 333","2021-01-02 07:00:00","2021-01-02 07:15:00","216.780235956862"
"2021-01-02 07:15:00"," 334","2021-01-02 07:15:00","2021-01-02 07:30:00","246.079524930259"
"2021-01-02 07:30:00"," 335","2021-01-02 07:30:00","2021-01-02 07:45:00","248.590256622041"
"2021-01-02 07:45:00"," 336","2021-01-02 07:45:00","2021-01-02 08:00:00","247.140038115151"
"2021-01-02 08:00:00"," 337","2021-01-02 08:00:00","2021-01-02 08:15:00","235.732520679111"
"2021-01-02 08:15:00"," 338","2021-01-02 08:15:00","2021-01-02 08:30:00","233.335069687107"
"2021-01-02 08:30:00"," 339","2021-01-02 08:30:00","2021-01-02 08:45:00","232.684272383505"
"2021-01-02 08:45:00"," 340","2021-01-02 08:45:00","2021-01-02 09:00:00","232.421719529557"
"2021-01-02 09:00:00"," 341","2021-01-02 09:00:00","2021-01-02 09:15:00","273.67927645377"
