"","Index","From.Date","To.Date","SO2"
"2020-12-30 08:30:00","  51","2020-12-30 08:30:00","2020-12-30 08:45:00","14.3326450055066"
"2020-12-30 08:45:00","  52","2020-12-30 08:45:00","2020-12-30 09:00:00","15.0686200906975"
"2020-12-30 09:00:00","  53","2020-12-30 09:00:00","2020-12-30 09:15:00","15.8833498583733"
"2020-12-30 09:15:00","  54","2020-12-30 09:15:00","2020-12-30 09:30:00","16.9323139893339"
"2020-12-30 09:30:00","  55","2020-12-30 09:30:00","2020-12-30 09:45:00","17.8175303320954"
"2020-12-30 09:45:00","  56","2020-12-30 09:45:00","2020-12-30 10:00:00","18.6027566543807"
"2020-12-30 10:00:00","  57","2020-12-30 10:00:00","2020-12-30 10:15:00","19.3178184835269"
"2020-12-30 10:15:00","  58","2020-12-30 10:15:00","2020-12-30 10:30:00","19.9836448382323"
"2020-12-30 10:30:00","  59","2020-12-30 10:30:00","2020-12-30 10:45:00","20.6149219239991"
"2020-12-30 10:45:00","  60","2020-12-30 10:45:00","2020-12-30 11:00:00","20.8938417260466"
"2020-12-30 11:00:00","  61","2020-12-30 11:00:00","2020-12-30 11:15:00","20.9255071511236"
"2020-12-30 11:15:00","  62","2020-12-30 11:15:00","2020-12-30 11:30:00","20.7836704811519"
"2020-12-30 11:30:00","  63","2020-12-30 11:30:00","2020-12-30 11:45:00","20.5200847956312"
"2020-12-30 11:45:00","  64","2020-12-30 11:45:00","2020-12-30 12:00:00","20.2605515168703"
"2020-12-30 12:00:00","  65","2020-12-30 12:00:00","2020-12-30 12:15:00","20.0038618725535"
"2020-12-30 12:15:00","  66","2020-12-30 12:15:00","2020-12-30 12:30:00","19.6745963888657"
"2020-12-30 12:30:00","  67","2020-12-30 12:30:00","2020-12-30 12:45:00","18.8469757918203"
"2020-12-30 12:45:00","  68","2020-12-30 12:45:00","2020-12-30 13:00:00","17.9082799893729"
"2020-12-30 13:00:00","  69","2020-12-30 13:00:00","2020-12-30 13:15:00","17.1600975904149"
