,0,1,2,3,4
217,62.2,70.5,77.1,88.0,82.2
218,70.5,77.1,88.0,82.2,87.0
219,77.1,88.0,82.2,87.0,99.7
220,88.0,82.2,87.0,99.7,88.6
221,82.2,87.0,99.7,88.6,108.9
222,87.0,99.7,88.6,108.9,113.7
223,99.7,88.6,108.9,113.7,90.9
224,88.6,108.9,113.7,90.9,81.6
225,108.9,113.7,90.9,81.6,76.6
226,113.7,90.9,81.6,76.6,92.9
227,90.9,81.6,76.6,92.9,91.2
228,81.6,76.6,92.9,91.2,76.5
229,76.6,92.9,91.2,76.5,76.8
230,92.9,91.2,76.5,76.8,70.5
231,91.2,76.5,76.8,70.5,65.1
232,76.5,76.8,70.5,65.1,56.6
233,76.8,70.5,65.1,56.6,62.3
234,70.5,65.1,56.6,62.3,75.7
235,65.1,56.6,62.3,75.7,78.5
236,56.6,62.3,75.7,78.5,
237,62.3,75.7,78.5,,
238,75.7,78.5,,,
239,78.5,,,,69.6
240,,,,69.6,64.2
241,,,69.6,64.2,54.2
242,,69.6,64.2,54.2,45.5
243,69.6,64.2,54.2,45.5,37.1
244,64.2,54.2,45.5,37.1,
245,54.2,45.5,37.1,,28.1
246,45.5,37.1,,28.1,26.3
247,37.1,,28.1,26.3,23.7
248,,28.1,26.3,23.7,22.5
249,28.1,26.3,23.7,22.5,22.2
250,26.3,23.7,22.5,22.2,22.7
251,23.7,22.5,22.2,22.7,22.0
252,22.5,22.2,22.7,22.0,
253,22.2,22.7,22.0,,25.7
254,22.7,22.0,,25.7,25.5
255,22.0,,25.7,25.5,26.3
256,,25.7,25.5,26.3,25.0
257,25.7,25.5,26.3,25.0,25.5
258,25.5,26.3,25.0,25.5,29.1
259,26.3,25.0,25.5,29.1,32.3
260,25.0,25.5,29.1,32.3,42.7
261,25.5,29.1,32.3,42.7,35.1
262,29.1,32.3,42.7,35.1,70.4
263,32.3,42.7,35.1,70.4,64.6
264,42.7,35.1,70.4,64.6,54.4
265,35.1,70.4,64.6,54.4,67.4
266,70.4,64.6,54.4,67.4,59.3
267,64.6,54.4,67.4,59.3,61.0
268,54.4,67.4,59.3,61.0,59.6
269,67.4,59.3,61.0,59.6,59.7
270,59.3,61.0,59.6,59.7,57.1
271,61.0,59.6,59.7,57.1,54.3
272,59.6,59.7,57.1,54.3,48.6
273,59.7,57.1,54.3,48.6,44.1
274,57.1,54.3,48.6,44.1,
275,54.3,48.6,44.1,,58.4
276,48.6,44.1,,58.4,49.7
277,44.1,,58.4,49.7,
278,,58.4,49.7,,
279,58.4,49.7,,,
280,49.7,,,,49.2
281,,,,49.2,47.8
282,,,49.2,47.8,39.7
283,,49.2,47.8,39.7,
284,49.2,47.8,39.7,,44.7
285,47.8,39.7,,44.7,
286,39.7,,44.7,,
287,,44.7,,,
288,44.7,,,,47.0
289,,,,47.0,42.7
