,0,1,2,3,4
242,,32.6,25.4,16.3,9.6
243,32.6,25.4,16.3,9.6,6.6
244,25.4,16.3,9.6,6.6,
245,16.3,9.6,6.6,,5.2
246,9.6,6.6,,5.2,5.5
247,6.6,,5.2,5.5,4.0
248,,5.2,5.5,4.0,2.7
249,5.2,5.5,4.0,2.7,3.5
250,5.5,4.0,2.7,3.5,5.4
251,4.0,2.7,3.5,5.4,2.6
252,2.7,3.5,5.4,2.6,
253,3.5,5.4,2.6,,4.1
254,5.4,2.6,,4.1,4.3
255,2.6,,4.1,4.3,3.2
256,,4.1,4.3,3.2,1.9
257,4.1,4.3,3.2,1.9,3.0
258,4.3,3.2,1.9,3.0,5.5
259,3.2,1.9,3.0,5.5,5.9
260,1.9,3.0,5.5,5.9,9.0
261,3.0,5.5,5.9,9.0,4.3
262,5.5,5.9,9.0,4.3,22.8
263,5.9,9.0,4.3,22.8,20.7
264,9.0,4.3,22.8,20.7,14.0
265,4.3,22.8,20.7,14.0,22.8
266,22.8,20.7,14.0,22.8,18.0
267,20.7,14.0,22.8,18.0,20.7
268,14.0,22.8,18.0,20.7,20.5
269,22.8,18.0,20.7,20.5,18.3
270,18.0,20.7,20.5,18.3,14.5
271,20.7,20.5,18.3,14.5,11.9
272,20.5,18.3,14.5,11.9,12.2
273,18.3,14.5,11.9,12.2,9.2
274,14.5,11.9,12.2,9.2,
275,11.9,12.2,9.2,,21.4
276,12.2,9.2,,21.4,10.8
277,9.2,,21.4,10.8,
278,,21.4,10.8,,
279,21.4,10.8,,,
280,10.8,,,,13.8
281,,,,13.8,13.1
282,,,13.8,13.1,6.8
283,,13.8,13.1,6.8,
284,13.8,13.1,6.8,,11.0
285,13.1,6.8,,11.0,
286,6.8,,11.0,,
287,,11.0,,,
288,11.0,,,,12.2
289,,,,12.2,10.2
290,,,12.2,10.2,6.0
291,,12.2,10.2,6.0,8.2
292,12.2,10.2,6.0,8.2,7.9
293,10.2,6.0,8.2,7.9,
294,6.0,8.2,7.9,,6.1
295,8.2,7.9,,6.1,10.6
296,7.9,,6.1,10.6,13.9
297,,6.1,10.6,13.9,9.9
298,6.1,10.6,13.9,9.9,10.9
299,10.6,13.9,9.9,10.9,12.2
300,13.9,9.9,10.9,12.2,9.4
301,9.9,10.9,12.2,9.4,14.3
302,10.9,12.2,9.4,14.3,13.7
303,12.2,9.4,14.3,13.7,
304,9.4,14.3,13.7,,17.1
305,14.3,13.7,,17.1,13.5
306,13.7,,17.1,13.5,19.8
307,,17.1,13.5,19.8,15.4
308,17.1,13.5,19.8,15.4,4.9
309,13.5,19.8,15.4,4.9,47.8
310,19.8,15.4,4.9,47.8,33.3
311,15.4,4.9,47.8,33.3,15.1
312,4.9,47.8,33.3,15.1,20.8
313,47.8,33.3,15.1,20.8,16.4
314,33.3,15.1,20.8,16.4,24.9
315,15.1,20.8,16.4,24.9,41.8
316,20.8,16.4,24.9,41.8,45.6
317,16.4,24.9,41.8,45.6,50.7
318,24.9,41.8,45.6,50.7,68.0
319,41.8,45.6,50.7,68.0,136.5
320,45.6,50.7,68.0,136.5,172.1
321,50.7,68.0,136.5,172.1,109.0
322,68.0,136.5,172.1,109.0,129.3
323,136.5,172.1,109.0,129.3,205.1
324,172.1,109.0,129.3,205.1,199.4
325,109.0,129.3,205.1,199.4,125.2
326,129.3,205.1,199.4,125.2,164.4
327,205.1,199.4,125.2,164.4,164.9
328,199.4,125.2,164.4,164.9,116.8
329,125.2,164.4,164.9,116.8,114.7
330,164.4,164.9,116.8,114.7,95.5
331,164.9,116.8,114.7,95.5,61.8
332,116.8,114.7,95.5,61.8,47.5
333,114.7,95.5,61.8,47.5,
334,95.5,61.8,47.5,,
335,61.8,47.5,,,40.6
336,47.5,,,40.6,55.0
337,,,40.6,55.0,40.0
338,,40.6,55.0,40.0,35.1
339,40.6,55.0,40.0,35.1,34.9
340,55.0,40.0,35.1,34.9,37.9
341,40.0,35.1,34.9,37.9,33.8
342,35.1,34.9,37.9,33.8,26.0
343,34.9,37.9,33.8,26.0,19.3
344,37.9,33.8,26.0,19.3,18.4
345,33.8,26.0,19.3,18.4,18.8
346,26.0,19.3,18.4,18.8,16.2
347,19.3,18.4,18.8,16.2,12.3
348,18.4,18.8,16.2,12.3,13.7
349,18.8,16.2,12.3,13.7,9.7
350,16.2,12.3,13.7,9.7,7.7
351,12.3,13.7,9.7,7.7,5.5
352,13.7,9.7,7.7,5.5,5.9
353,9.7,7.7,5.5,5.9,7.1
354,7.7,5.5,5.9,7.1,8.6
355,5.5,5.9,7.1,8.6,13.2
356,5.9,7.1,8.6,13.2,14.4
357,7.1,8.6,13.2,14.4,33.1
358,8.6,13.2,14.4,33.1,42.8
359,13.2,14.4,33.1,42.8,47.3
360,14.4,33.1,42.8,47.3,45.8
361,33.1,42.8,47.3,45.8,45.4
362,42.8,47.3,45.8,45.4,52.2
363,47.3,45.8,45.4,52.2,52.3
364,45.8,45.4,52.2,52.3,45.0
365,45.4,52.2,52.3,45.0,58.6
366,52.2,52.3,45.0,58.6,50.2
367,52.3,45.0,58.6,50.2,47.6
368,45.0,58.6,50.2,47.6,43.1
369,58.6,50.2,47.6,43.1,38.6
370,50.2,47.6,43.1,38.6,39.0
371,47.6,43.1,38.6,39.0,34.4
372,43.1,38.6,39.0,34.4,24.6
373,38.6,39.0,34.4,24.6,
374,39.0,34.4,24.6,,
375,34.4,24.6,,,
376,24.6,,,,19.7
377,,,,19.7,13.9
378,,,19.7,13.9,11.5
379,,19.7,13.9,11.5,16.0
380,19.7,13.9,11.5,16.0,14.4
381,13.9,11.5,16.0,14.4,
382,11.5,16.0,14.4,,
383,16.0,14.4,,,
384,14.4,,,,8.7
385,,,,8.7,8.5
386,,,8.7,8.5,6.0
387,,8.7,8.5,6.0,4.8
388,8.7,8.5,6.0,4.8,4.5
389,8.5,6.0,4.8,4.5,9.2
390,6.0,4.8,4.5,9.2,6.3
391,4.8,4.5,9.2,6.3,3.9
392,4.5,9.2,6.3,3.9,7.0
393,9.2,6.3,3.9,7.0,7.3
394,6.3,3.9,7.0,7.3,4.3
395,3.9,7.0,7.3,4.3,3.0
396,7.0,7.3,4.3,3.0,4.7
397,7.3,4.3,3.0,4.7,7.0
398,4.3,3.0,4.7,7.0,9.7
399,3.0,4.7,7.0,9.7,11.6
400,4.7,7.0,9.7,11.6,7.3
401,7.0,9.7,11.6,7.3,6.7
402,9.7,11.6,7.3,6.7,7.4
403,11.6,7.3,6.7,7.4,11.7
404,7.3,6.7,7.4,11.7,29.3
405,6.7,7.4,11.7,29.3,65.4
406,7.4,11.7,29.3,65.4,87.2
407,11.7,29.3,65.4,87.2,53.6
408,29.3,65.4,87.2,53.6,69.2
409,65.4,87.2,53.6,69.2,79.7
410,87.2,53.6,69.2,79.7,61.1
