,0,1,2,3,4
240,,,,239.0,239.0
241,,,239.0,239.0,239.0
242,,239.0,239.0,239.0,222.0
243,239.0,239.0,239.0,222.0,222.0
244,239.0,239.0,222.0,222.0,
245,239.0,222.0,222.0,,222.0
246,222.0,222.0,,222.0,164.0
247,222.0,,222.0,164.0,164.0
248,,222.0,164.0,164.0,164.0
249,222.0,164.0,164.0,164.0,164.0
250,164.0,164.0,164.0,164.0,133.0
251,164.0,164.0,164.0,133.0,133.0
252,164.0,164.0,133.0,133.0,
253,164.0,133.0,133.0,,133.0
254,133.0,133.0,,133.0,158.0
255,133.0,,133.0,158.0,158.0
256,,133.0,158.0,158.0,158.0
257,133.0,158.0,158.0,158.0,158.0
258,158.0,158.0,158.0,158.0,162.0
259,158.0,158.0,158.0,162.0,162.0
260,158.0,158.0,162.0,162.0,162.0
261,158.0,162.0,162.0,162.0,162.0
262,162.0,162.0,162.0,162.0,172.0
263,162.0,162.0,162.0,172.0,172.0
264,162.0,162.0,172.0,172.0,172.0
265,162.0,172.0,172.0,172.0,172.0
266,172.0,172.0,172.0,172.0,207.0
267,172.0,172.0,172.0,207.0,207.0
268,172.0,172.0,207.0,207.0,207.0
269,172.0,207.0,207.0,207.0,207.0
270,207.0,207.0,207.0,207.0,223.0
271,207.0,207.0,207.0,223.0,223.0
272,207.0,207.0,223.0,223.0,223.0
273,207.0,223.0,223.0,223.0,223.0
274,223.0,223.0,223.0,223.0,
275,223.0,223.0,223.0,,194.0
276,223.0,223.0,,194.0,194.0
277,223.0,,194.0,194.0,
278,,194.0,194.0,,
279,194.0,194.0,,,
280,194.0,,,,232.0
281,,,,232.0,232.0
282,,,232.0,232.0,221.0
283,,232.0,232.0,221.0,
284,232.0,232.0,221.0,,221.0
285,232.0,221.0,,221.0,221.0
286,221.0,,221.0,221.0,192.0
287,,221.0,221.0,192.0,192.0
288,221.0,221.0,192.0,192.0,192.0
289,221.0,192.0,192.0,192.0,192.0
290,192.0,192.0,192.0,192.0,191.0
291,192.0,192.0,192.0,191.0,191.0
292,192.0,192.0,191.0,191.0,191.0
293,192.0,191.0,191.0,191.0,
294,191.0,191.0,191.0,,208.0
295,191.0,191.0,,208.0,208.0
296,191.0,,208.0,208.0,208.0
297,,208.0,208.0,208.0,208.0
298,208.0,208.0,208.0,208.0,209.0
299,208.0,208.0,208.0,209.0,209.0
300,208.0,208.0,209.0,209.0,209.0
301,208.0,209.0,209.0,209.0,209.0
302,209.0,209.0,209.0,209.0,204.0
303,209.0,209.0,209.0,204.0,
304,209.0,209.0,204.0,,204.0
305,209.0,204.0,,204.0,204.0
306,204.0,,204.0,204.0,209.0
307,,204.0,204.0,209.0,209.0
308,204.0,204.0,209.0,209.0,209.0
309,204.0,209.0,209.0,209.0,209.0
310,209.0,209.0,209.0,209.0,264.0
311,209.0,209.0,209.0,264.0,264.0
