,0,1,2,3,4
384,116.0,,,,95.3
385,,,,95.3,83.5
386,,,95.3,83.5,77.0
387,,95.3,83.5,77.0,79.3
388,95.3,83.5,77.0,79.3,60.7
389,83.5,77.0,79.3,60.7,73.8
390,77.0,79.3,60.7,73.8,69.1
391,79.3,60.7,73.8,69.1,61.2
392,60.7,73.8,69.1,61.2,79.1
393,73.8,69.1,61.2,79.1,67.8
394,69.1,61.2,79.1,67.8,57.2
395,61.2,79.1,67.8,57.2,61.7
396,79.1,67.8,57.2,61.7,55.6
397,67.8,57.2,61.7,55.6,68.4
398,57.2,61.7,55.6,68.4,92.1
399,61.7,55.6,68.4,92.1,88.0
400,55.6,68.4,92.1,88.0,72.6
401,68.4,92.1,88.0,72.6,72.4
402,92.1,88.0,72.6,72.4,86.5
403,88.0,72.6,72.4,86.5,99.3
404,72.6,72.4,86.5,99.3,126.4
405,72.4,86.5,99.3,126.4,146.5
406,86.5,99.3,126.4,146.5,154.7
407,99.3,126.4,146.5,154.7,159.0
408,126.4,146.5,154.7,159.0,151.2
409,146.5,154.7,159.0,151.2,156.8
410,154.7,159.0,151.2,156.8,157.7
411,159.0,151.2,156.8,157.7,145.4
412,151.2,156.8,157.7,145.4,148.9
413,156.8,157.7,145.4,148.9,156.4
414,157.7,145.4,148.9,156.4,138.8
415,145.4,148.9,156.4,138.8,122.0
416,148.9,156.4,138.8,122.0,121.1
417,156.4,138.8,122.0,121.1,120.7
418,138.8,122.0,121.1,120.7,118.8
419,122.0,121.1,120.7,118.8,119.5
420,121.1,120.7,118.8,119.5,124.2
421,120.7,118.8,119.5,124.2,125.3
422,118.8,119.5,124.2,125.3,119.8
423,119.5,124.2,125.3,119.8,121.1
424,124.2,125.3,119.8,121.1,114.0
425,125.3,119.8,121.1,114.0,106.5
426,119.8,121.1,114.0,106.5,85.9
427,121.1,114.0,106.5,85.9,75.0
428,114.0,106.5,85.9,75.0,85.5
429,106.5,85.9,75.0,85.5,
430,85.9,75.0,85.5,,73.2
