,0,1,2,3,4
306,16.4,,16.7,16.8,16.8
307,,16.7,16.8,16.8,17.2
308,16.7,16.8,16.8,17.2,16.6
309,16.8,16.8,17.2,16.6,17.2
310,16.8,17.2,16.6,17.2,18.1
311,17.2,16.6,17.2,18.1,17.9
312,16.6,17.2,18.1,17.9,17.8
313,17.2,18.1,17.9,17.8,17.8
314,18.1,17.9,17.8,17.8,17.5
315,17.9,17.8,17.8,17.5,18.9
316,17.8,17.8,17.5,18.9,19.4
317,17.8,17.5,18.9,19.4,20.1
318,17.5,18.9,19.4,20.1,21.1
319,18.9,19.4,20.1,21.1,21.4
320,19.4,20.1,21.1,21.4,23.8
321,20.1,21.1,21.4,23.8,24.0
322,21.1,21.4,23.8,24.0,24.0
323,21.4,23.8,24.0,24.0,25.3
324,23.8,24.0,24.0,25.3,28.4
325,24.0,24.0,25.3,28.4,24.4
326,24.0,25.3,28.4,24.4,25.6
327,25.3,28.4,24.4,25.6,25.8
328,28.4,24.4,25.6,25.8,22.9
329,24.4,25.6,25.8,22.9,21.8
330,25.6,25.8,22.9,21.8,20.3
331,25.8,22.9,21.8,20.3,18.9
332,22.9,21.8,20.3,18.9,17.2
333,21.8,20.3,18.9,17.2,
334,20.3,18.9,17.2,,
335,18.9,17.2,,,15.6
336,17.2,,,15.6,16.2
337,,,15.6,16.2,16.1
338,,15.6,16.2,16.1,15.5
339,15.6,16.2,16.1,15.5,14.6
340,16.2,16.1,15.5,14.6,14.5
341,16.1,15.5,14.6,14.5,14.3
342,15.5,14.6,14.5,14.3,13.8
343,14.6,14.5,14.3,13.8,13.9
344,14.5,14.3,13.8,13.9,13.9
345,14.3,13.8,13.9,13.9,13.1
346,13.8,13.9,13.9,13.1,12.1
347,13.9,13.9,13.1,12.1,13.0
348,13.9,13.1,12.1,13.0,12.3
349,13.1,12.1,13.0,12.3,11.8
350,12.1,13.0,12.3,11.8,12.2
351,13.0,12.3,11.8,12.2,12.4
352,12.3,11.8,12.2,12.4,14.2
353,11.8,12.2,12.4,14.2,16.2
354,12.2,12.4,14.2,16.2,15.9
355,12.4,14.2,16.2,15.9,16.3
356,14.2,16.2,15.9,16.3,15.6
357,16.2,15.9,16.3,15.6,15.5
358,15.9,16.3,15.6,15.5,16.4
359,16.3,15.6,15.5,16.4,16.9
360,15.6,15.5,16.4,16.9,17.8
361,15.5,16.4,16.9,17.8,17.6
362,16.4,16.9,17.8,17.6,17.8
363,16.9,17.8,17.6,17.8,18.3
364,17.8,17.6,17.8,18.3,17.9
365,17.6,17.8,18.3,17.9,17.1
366,17.8,18.3,17.9,17.1,17.0
367,18.3,17.9,17.1,17.0,16.0
368,17.9,17.1,17.0,16.0,14.8
369,17.1,17.0,16.0,14.8,16.2
370,17.0,16.0,14.8,16.2,17.9
371,16.0,14.8,16.2,17.9,19.2
372,14.8,16.2,17.9,19.2,20.1
373,16.2,17.9,19.2,20.1,
374,17.9,19.2,20.1,,
375,19.2,20.1,,,
376,20.1,,,,21.2
377,,,,21.2,
378,,,21.2,,
379,,21.2,,,
380,21.2,,,,19.6
381,,,,19.6,20.1
382,,,19.6,20.1,19.1
383,,19.6,20.1,19.1,19.0
384,19.6,20.1,19.1,19.0,19.2
385,20.1,19.1,19.0,19.2,19.0
386,19.1,19.0,19.2,19.0,18.4
387,19.0,19.2,19.0,18.4,18.0
388,19.2,19.0,18.4,18.0,17.3
389,19.0,18.4,18.0,17.3,17.2
390,18.4,18.0,17.3,17.2,16.6
391,18.0,17.3,17.2,16.6,16.3
392,17.3,17.2,16.6,16.3,16.1
393,17.2,16.6,16.3,16.1,16.1
394,16.6,16.3,16.1,16.1,15.9
395,16.3,16.1,16.1,15.9,14.3
396,16.1,16.1,15.9,14.3,15.0
397,16.1,15.9,14.3,15.0,14.4
398,15.9,14.3,15.0,14.4,15.1
399,14.3,15.0,14.4,15.1,15.9
400,15.0,14.4,15.1,15.9,18.1
401,14.4,15.1,15.9,18.1,18.5
402,15.1,15.9,18.1,18.5,18.3
403,15.9,18.1,18.5,18.3,18.5
404,18.1,18.5,18.3,18.5,19.6
405,18.5,18.3,18.5,19.6,21.5
406,18.3,18.5,19.6,21.5,24.6
407,18.5,19.6,21.5,24.6,25.6
408,19.6,21.5,24.6,25.6,25.4
409,21.5,24.6,25.6,25.4,26.3
410,24.6,25.6,25.4,26.3,25.8
411,25.6,25.4,26.3,25.8,24.5
412,25.4,26.3,25.8,24.5,23.7
413,26.3,25.8,24.5,23.7,22.9
414,25.8,24.5,23.7,22.9,22.3
415,24.5,23.7,22.9,22.3,20.3
416,23.7,22.9,22.3,20.3,16.5
417,22.9,22.3,20.3,16.5,15.9
418,22.3,20.3,16.5,15.9,15.1
419,20.3,16.5,15.9,15.1,14.7
420,16.5,15.9,15.1,14.7,15.1
421,15.9,15.1,14.7,15.1,15.4
422,15.1,14.7,15.1,15.4,15.0
423,14.7,15.1,15.4,15.0,14.1
424,15.1,15.4,15.0,14.1,13.8
425,15.4,15.0,14.1,13.8,13.3
426,15.0,14.1,13.8,13.3,13.0
427,14.1,13.8,13.3,13.0,12.3
428,13.8,13.3,13.0,12.3,11.7
429,13.3,13.0,12.3,11.7,
430,13.0,12.3,11.7,,12.3
431,12.3,11.7,,12.3,12.4
432,11.7,,12.3,12.4,13.6
433,,12.3,12.4,13.6,13.6
434,12.3,12.4,13.6,13.6,12.9
435,12.4,13.6,13.6,12.9,12.9
436,13.6,13.6,12.9,12.9,13.2
437,13.6,12.9,12.9,13.2,12.8
438,12.9,12.9,13.2,12.8,12.4
439,12.9,13.2,12.8,12.4,
440,13.2,12.8,12.4,,12.4
441,12.8,12.4,,12.4,12.7
442,12.4,,12.4,12.7,11.7
443,,12.4,12.7,11.7,12.1
444,12.4,12.7,11.7,12.1,11.8
445,12.7,11.7,12.1,11.8,11.8
446,11.7,12.1,11.8,11.8,12.3
447,12.1,11.8,11.8,12.3,12.7
448,11.8,11.8,12.3,12.7,13.2
449,11.8,12.3,12.7,13.2,12.9
450,12.3,12.7,13.2,12.9,13.3
451,12.7,13.2,12.9,13.3,13.5
452,13.2,12.9,13.3,13.5,13.0
453,12.9,13.3,13.5,13.0,12.9
454,13.3,13.5,13.0,12.9,13.5
