,0,1,3
13,Prescribed Standards, ,0-80
14,Exceeding Standards, ,NA
15,Remarks,,
16,From Date,To Date,NO
675,05-01-2021 20:30,05-01-2021 20:45,212.3
676,05-01-2021 20:45,05-01-2021 21:00,231.8
677,05-01-2021 21:00,05-01-2021 21:15,274.7
678,05-01-2021 21:15,05-01-2021 21:30,314.3
679,05-01-2021 21:30,05-01-2021 21:45,None
680,05-01-2021 21:45,05-01-2021 22:00,None
681,05-01-2021 22:00,05-01-2021 22:15,None
682,05-01-2021 22:15,05-01-2021 22:30,None
683,05-01-2021 22:30,05-01-2021 22:45,None
684,05-01-2021 22:45,05-01-2021 23:00,None
685,05-01-2021 23:00,05-01-2021 23:15,None
686,05-01-2021 23:15,05-01-2021 23:30,None
687,05-01-2021 23:30,05-01-2021 23:45,None
688,05-01-2021 23:45,06-01-2021 00:00,None
689,06-01-2021 00:00,06-01-2021 00:15,None
690,06-01-2021 00:15,06-01-2021 00:30,None
691,06-01-2021 00:30,06-01-2021 00:45,None
692,06-01-2021 00:45,06-01-2021 01:00,None
693,06-01-2021 01:00,06-01-2021 01:15,None
694,06-01-2021 01:15,06-01-2021 01:30,None
695,06-01-2021 01:30,06-01-2021 01:45,None
696,06-01-2021 01:45,06-01-2021 02:00,None
697,06-01-2021 02:00,06-01-2021 02:15,None
698,06-01-2021 02:15,06-01-2021 02:30,None
699,06-01-2021 02:30,06-01-2021 02:45,None
700,06-01-2021 02:45,06-01-2021 03:00,None
701,06-01-2021 03:00,06-01-2021 03:15,None
702,06-01-2021 03:15,06-01-2021 03:30,None
703,06-01-2021 03:30,06-01-2021 03:45,None
704,06-01-2021 03:45,06-01-2021 04:00,None
705,06-01-2021 04:00,06-01-2021 04:15,None
706,06-01-2021 04:15,06-01-2021 04:30,None
707,06-01-2021 04:30,06-01-2021 04:45,None
708,06-01-2021 04:45,06-01-2021 05:00,None
709,06-01-2021 05:00,06-01-2021 05:15,None
710,06-01-2021 05:15,06-01-2021 05:30,None
711,06-01-2021 05:30,06-01-2021 05:45,None
712,06-01-2021 05:45,06-01-2021 06:00,None
713,06-01-2021 06:00,06-01-2021 06:15,None
714,06-01-2021 06:15,06-01-2021 06:30,None
715,06-01-2021 06:30,06-01-2021 06:45,None
716,06-01-2021 06:45,06-01-2021 07:00,None
717,06-01-2021 07:00,06-01-2021 07:15,None
718,06-01-2021 07:15,06-01-2021 07:30,None
719,06-01-2021 07:30,06-01-2021 07:45,None
720,06-01-2021 07:45,06-01-2021 08:00,None
721,06-01-2021 08:00,06-01-2021 08:15,None
722,06-01-2021 08:15,06-01-2021 08:30,None
723,06-01-2021 08:30,06-01-2021 08:45,None
724,06-01-2021 08:45,06-01-2021 09:00,None
725,06-01-2021 09:00,06-01-2021 09:15,None
726,06-01-2021 09:15,06-01-2021 09:30,None
727,06-01-2021 09:30,06-01-2021 09:45,None
728,06-01-2021 09:45,06-01-2021 10:00,None
729,06-01-2021 10:00,06-01-2021 10:15,None
730,06-01-2021 10:15,06-01-2021 10:30,None
731,06-01-2021 10:30,06-01-2021 10:45,None
732,06-01-2021 10:45,06-01-2021 11:00,None
733,06-01-2021 11:00,06-01-2021 11:15,None
734,06-01-2021 11:15,06-01-2021 11:30,None
735,06-01-2021 11:30,06-01-2021 11:45,None
736,06-01-2021 11:45,06-01-2021 12:00,None
737,06-01-2021 12:00,06-01-2021 12:15,None
738,06-01-2021 12:15,06-01-2021 12:30,None
739,06-01-2021 12:30,06-01-2021 12:45,None
740,06-01-2021 12:45,06-01-2021 13:00,None
741,06-01-2021 13:00,06-01-2021 13:15,None
742,06-01-2021 13:15,06-01-2021 13:30,None
743,06-01-2021 13:30,06-01-2021 13:45,None
744,06-01-2021 13:45,06-01-2021 14:00,None
745,06-01-2021 14:00,06-01-2021 14:15,None
746,06-01-2021 14:15,06-01-2021 14:30,None
747,06-01-2021 14:30,06-01-2021 14:45,None
748,06-01-2021 14:45,06-01-2021 15:00,2.7
749,06-01-2021 15:00,06-01-2021 15:15,None
750,06-01-2021 15:15,06-01-2021 15:30,16.8
751,06-01-2021 15:30,06-01-2021 15:45,13.8
752,06-01-2021 15:45,06-01-2021 16:00,11.1
753,06-01-2021 16:00,06-01-2021 16:15,14.6
754,06-01-2021 16:15,06-01-2021 16:30,16.4
755,06-01-2021 16:30,06-01-2021 16:45,11.7
756,06-01-2021 16:45,06-01-2021 17:00,15.1
757,06-01-2021 17:00,06-01-2021 17:15,17.9
758,06-01-2021 17:15,06-01-2021 17:30,16.1
759,06-01-2021 17:30,06-01-2021 17:45,16.7
