,0,1,6
13,Prescribed Standards, ,0-80
14,Exceeding Standards, ,NA
15,Remarks,,
16,From Date,To Date,SO2
1962,19-01-2021 06:15,19-01-2021 06:30,17.8
1963,19-01-2021 06:30,19-01-2021 06:45,17.6
1964,19-01-2021 06:45,19-01-2021 07:00,17.8
1965,19-01-2021 07:00,19-01-2021 07:15,18.3
1966,19-01-2021 07:15,19-01-2021 07:30,17.9
1967,19-01-2021 07:30,19-01-2021 07:45,17.1
1968,19-01-2021 07:45,19-01-2021 08:00,17
1969,19-01-2021 08:00,19-01-2021 08:15,16
1970,19-01-2021 08:15,19-01-2021 08:30,14.8
1971,19-01-2021 08:30,19-01-2021 08:45,16.2
1972,19-01-2021 08:45,19-01-2021 09:00,17.9
1973,19-01-2021 09:00,19-01-2021 09:15,19.2
1974,19-01-2021 09:15,19-01-2021 09:30,20.1
1975,19-01-2021 09:30,19-01-2021 09:45,None
1976,19-01-2021 09:45,19-01-2021 10:00,None
1977,19-01-2021 10:00,19-01-2021 10:15,None
1978,19-01-2021 10:15,19-01-2021 10:30,21.2
1979,19-01-2021 10:30,19-01-2021 10:45,None
1980,19-01-2021 10:45,19-01-2021 11:00,None
1981,19-01-2021 11:00,19-01-2021 11:15,None
1982,19-01-2021 11:15,19-01-2021 11:30,19.6
1983,19-01-2021 11:30,19-01-2021 11:45,20.1
1984,19-01-2021 11:45,19-01-2021 12:00,19.1
1985,19-01-2021 12:00,19-01-2021 12:15,19
1986,19-01-2021 12:15,19-01-2021 12:30,19.2
1987,19-01-2021 12:30,19-01-2021 12:45,19
1988,19-01-2021 12:45,19-01-2021 13:00,18.4
1989,19-01-2021 13:00,19-01-2021 13:15,18
1990,19-01-2021 13:15,19-01-2021 13:30,17.3
1991,19-01-2021 13:30,19-01-2021 13:45,17.2
1992,19-01-2021 13:45,19-01-2021 14:00,16.6
1993,19-01-2021 14:00,19-01-2021 14:15,16.3
1994,19-01-2021 14:15,19-01-2021 14:30,16.1
1995,19-01-2021 14:30,19-01-2021 14:45,16.1
1996,19-01-2021 14:45,19-01-2021 15:00,15.9
1997,19-01-2021 15:00,19-01-2021 15:15,14.3
1998,19-01-2021 15:15,19-01-2021 15:30,15
1999,19-01-2021 15:30,19-01-2021 15:45,14.4
2000,19-01-2021 15:45,19-01-2021 16:00,15.1
2001,19-01-2021 16:00,19-01-2021 16:15,15.9
2002,19-01-2021 16:15,19-01-2021 16:30,18.1
2003,19-01-2021 16:30,19-01-2021 16:45,18.5
2004,19-01-2021 16:45,19-01-2021 17:00,18.3
2005,19-01-2021 17:00,19-01-2021 17:15,18.5
2006,19-01-2021 17:15,19-01-2021 17:30,19.6
2007,19-01-2021 17:30,19-01-2021 17:45,21.5
2008,19-01-2021 17:45,19-01-2021 18:00,24.6
2009,19-01-2021 18:00,19-01-2021 18:15,25.6
2010,19-01-2021 18:15,19-01-2021 18:30,25.4
2011,19-01-2021 18:30,19-01-2021 18:45,26.3
2012,19-01-2021 18:45,19-01-2021 19:00,25.8
2013,19-01-2021 19:00,19-01-2021 19:15,24.5
2014,19-01-2021 19:15,19-01-2021 19:30,23.7
2015,19-01-2021 19:30,19-01-2021 19:45,22.9
2016,19-01-2021 19:45,19-01-2021 20:00,22.3
2017,19-01-2021 20:00,19-01-2021 20:15,20.3
2018,19-01-2021 20:15,19-01-2021 20:30,16.5
2019,19-01-2021 20:30,19-01-2021 20:45,15.9
2020,19-01-2021 20:45,19-01-2021 21:00,15.1
2021,19-01-2021 21:00,19-01-2021 21:15,14.7
2022,19-01-2021 21:15,19-01-2021 21:30,15.1
2023,19-01-2021 21:30,19-01-2021 21:45,15.4
2024,19-01-2021 21:45,19-01-2021 22:00,15
2025,19-01-2021 22:00,19-01-2021 22:15,14.1
2026,19-01-2021 22:15,19-01-2021 22:30,13.8
2027,19-01-2021 22:30,19-01-2021 22:45,13.3
2028,19-01-2021 22:45,19-01-2021 23:00,13
2029,19-01-2021 23:00,19-01-2021 23:15,12.3
2030,19-01-2021 23:15,19-01-2021 23:30,11.7
2031,19-01-2021 23:30,19-01-2021 23:45,None
2032,19-01-2021 23:45,20-01-2021 00:00,12.3
2033,20-01-2021 00:00,20-01-2021 00:15,12.4
2034,20-01-2021 00:15,20-01-2021 00:30,13.6
2035,20-01-2021 00:30,20-01-2021 00:45,13.6
2036,20-01-2021 00:45,20-01-2021 01:00,12.9
2037,20-01-2021 01:00,20-01-2021 01:15,12.9
2038,20-01-2021 01:15,20-01-2021 01:30,13.2
2039,20-01-2021 01:30,20-01-2021 01:45,12.8
2040,20-01-2021 01:45,20-01-2021 02:00,12.4
2041,20-01-2021 02:00,20-01-2021 02:15,None
2042,20-01-2021 02:15,20-01-2021 02:30,12.4
2043,20-01-2021 02:30,20-01-2021 02:45,12.7
2044,20-01-2021 02:45,20-01-2021 03:00,11.7
2045,20-01-2021 03:00,20-01-2021 03:15,12.1
2046,20-01-2021 03:15,20-01-2021 03:30,11.8
2047,20-01-2021 03:30,20-01-2021 03:45,11.8
2048,20-01-2021 03:45,20-01-2021 04:00,12.3
2049,20-01-2021 04:00,20-01-2021 04:15,12.7
2050,20-01-2021 04:15,20-01-2021 04:30,13.2
2051,20-01-2021 04:30,20-01-2021 04:45,12.9
2052,20-01-2021 04:45,20-01-2021 05:00,13.3
2053,20-01-2021 05:00,20-01-2021 05:15,13.5
2054,20-01-2021 05:15,20-01-2021 05:30,13
2055,20-01-2021 05:30,20-01-2021 05:45,12.9
2056,20-01-2021 05:45,20-01-2021 06:00,13.5
2057,20-01-2021 06:00,20-01-2021 06:15,13.5
2058,20-01-2021 06:15,20-01-2021 06:30,13.3
2059,20-01-2021 06:30,20-01-2021 06:45,13.6
2060,20-01-2021 06:45,20-01-2021 07:00,13.7
2061,20-01-2021 07:00,20-01-2021 07:15,13.6
2062,20-01-2021 07:15,20-01-2021 07:30,13.6
2063,20-01-2021 07:30,20-01-2021 07:45,13.3
2064,20-01-2021 07:45,20-01-2021 08:00,12.5
2065,20-01-2021 08:00,20-01-2021 08:15,13
2066,20-01-2021 08:15,20-01-2021 08:30,14.1
2067,20-01-2021 08:30,20-01-2021 08:45,14.7
2068,20-01-2021 08:45,20-01-2021 09:00,15.2
2069,20-01-2021 09:00,20-01-2021 09:15,15.6
2070,20-01-2021 09:15,20-01-2021 09:30,16.3
2071,20-01-2021 09:30,20-01-2021 09:45,None
2072,20-01-2021 09:45,20-01-2021 10:00,None
2073,20-01-2021 10:00,20-01-2021 10:15,None
2074,20-01-2021 10:15,20-01-2021 10:30,19.5
2075,20-01-2021 10:30,20-01-2021 10:45,None
2076,20-01-2021 10:45,20-01-2021 11:00,None
2077,20-01-2021 11:00,20-01-2021 11:15,None
2078,20-01-2021 11:15,20-01-2021 11:30,20.5
2079,20-01-2021 11:30,20-01-2021 11:45,19.7
2080,20-01-2021 11:45,20-01-2021 12:00,19.3
2081,20-01-2021 12:00,20-01-2021 12:15,18.3
2082,20-01-2021 12:15,20-01-2021 12:30,15.9
2083,20-01-2021 12:30,20-01-2021 12:45,15.1
2084,20-01-2021 12:45,20-01-2021 13:00,14.8
2085,20-01-2021 13:00,20-01-2021 13:15,14.6
2086,20-01-2021 13:15,20-01-2021 13:30,14.6
2087,20-01-2021 13:30,20-01-2021 13:45,14.4
2088,20-01-2021 13:45,20-01-2021 14:00,14
2089,20-01-2021 14:00,20-01-2021 14:15,14.2
2090,20-01-2021 14:15,20-01-2021 14:30,14.6
2091,20-01-2021 14:30,20-01-2021 14:45,14.4
2092,20-01-2021 14:45,20-01-2021 15:00,14.5
2093,20-01-2021 15:00,20-01-2021 15:15,14.9
2094,20-01-2021 15:15,20-01-2021 15:30,15.6
2095,20-01-2021 15:30,20-01-2021 15:45,15.8
2096,20-01-2021 15:45,20-01-2021 16:00,16.7
2097,20-01-2021 16:00,20-01-2021 16:15,16.7
2098,20-01-2021 16:15,20-01-2021 16:30,17.3
2099,20-01-2021 16:30,20-01-2021 16:45,None
2100,20-01-2021 16:45,20-01-2021 17:00,18.3
2101,20-01-2021 17:00,20-01-2021 17:15,17.5
2102,20-01-2021 17:15,20-01-2021 17:30,17.3
2103,20-01-2021 17:30,20-01-2021 17:45,17.6
2104,20-01-2021 17:45,20-01-2021 18:00,18.7
2105,20-01-2021 18:00,20-01-2021 18:15,17.9
2106,20-01-2021 18:15,20-01-2021 18:30,18.9
2107,20-01-2021 18:30,20-01-2021 18:45,20
2108,20-01-2021 18:45,20-01-2021 19:00,20.1
2109,20-01-2021 19:00,20-01-2021 19:15,22.1
2110,20-01-2021 19:15,20-01-2021 19:30,22.3
2111,20-01-2021 19:30,20-01-2021 19:45,22.3
2112,20-01-2021 19:45,20-01-2021 20:00,23.2
2113,20-01-2021 20:00,20-01-2021 20:15,20.6
2114,20-01-2021 20:15,20-01-2021 20:30,None
2115,20-01-2021 20:30,20-01-2021 20:45,14.9
2116,20-01-2021 20:45,20-01-2021 21:00,15.2
2117,20-01-2021 21:00,20-01-2021 21:15,14.4
2118,20-01-2021 21:15,20-01-2021 21:30,14
2119,20-01-2021 21:30,20-01-2021 21:45,13.1
2120,20-01-2021 21:45,20-01-2021 22:00,12.6
2121,20-01-2021 22:00,20-01-2021 22:15,12.9
2122,20-01-2021 22:15,20-01-2021 22:30,13
2123,20-01-2021 22:30,20-01-2021 22:45,12.4
2124,20-01-2021 22:45,20-01-2021 23:00,11.5
2125,20-01-2021 23:00,20-01-2021 23:15,11.4
2126,20-01-2021 23:15,20-01-2021 23:30,11.3
2127,20-01-2021 23:30,20-01-2021 23:45,None
2128,20-01-2021 23:45,21-01-2021 00:00,11.3
2129,21-01-2021 00:00,21-01-2021 00:15,12.4
2130,21-01-2021 00:15,21-01-2021 00:30,15.3
2131,21-01-2021 00:30,21-01-2021 00:45,16.6
2132,21-01-2021 00:45,21-01-2021 01:00,16.4
2133,21-01-2021 01:00,21-01-2021 01:15,15.7
2134,21-01-2021 01:15,21-01-2021 01:30,15.2
2135,21-01-2021 01:30,21-01-2021 01:45,15.6
2136,21-01-2021 01:45,21-01-2021 02:00,16.3
2137,21-01-2021 02:00,21-01-2021 02:15,16.7
2138,21-01-2021 02:15,21-01-2021 02:30,17.1
2139,21-01-2021 02:30,21-01-2021 02:45,16.9
2140,21-01-2021 02:45,21-01-2021 03:00,17.3
2141,21-01-2021 03:00,21-01-2021 03:15,17.6
2142,21-01-2021 03:15,21-01-2021 03:30,18.2
2143,21-01-2021 03:30,21-01-2021 03:45,17.3
2144,21-01-2021 03:45,21-01-2021 04:00,16.7
2145,21-01-2021 04:00,21-01-2021 04:15,17
2146,21-01-2021 04:15,21-01-2021 04:30,18.9
2147,21-01-2021 04:30,21-01-2021 04:45,19.6
2148,21-01-2021 04:45,21-01-2021 05:00,20.2
2149,21-01-2021 05:00,21-01-2021 05:15,20.7
2150,21-01-2021 05:15,21-01-2021 05:30,20.8
