,0,1,5
13,Prescribed Standards, ,0-200
14,Exceeding Standards, ,NA
15,Remarks,,
16,From Date,To Date,NOx
2564,25-01-2021 12:45,25-01-2021 13:00,13.4
2565,25-01-2021 13:00,25-01-2021 13:15,43
2566,25-01-2021 13:15,25-01-2021 13:30,52.7
2567,25-01-2021 13:30,25-01-2021 13:45,49.3
2568,25-01-2021 13:45,25-01-2021 14:00,49.8
2569,25-01-2021 14:00,25-01-2021 14:15,45
2570,25-01-2021 14:15,25-01-2021 14:30,41.2
2571,25-01-2021 14:30,25-01-2021 14:45,42.7
2572,25-01-2021 14:45,25-01-2021 15:00,39.9
2573,25-01-2021 15:00,25-01-2021 15:15,45.4
2574,25-01-2021 15:15,25-01-2021 15:30,47.7
2575,25-01-2021 15:30,25-01-2021 15:45,46.1
2576,25-01-2021 15:45,25-01-2021 16:00,43.9
2577,25-01-2021 16:00,25-01-2021 16:15,52.6
2578,25-01-2021 16:15,25-01-2021 16:30,46.8
2579,25-01-2021 16:30,25-01-2021 16:45,60.9
2580,25-01-2021 16:45,25-01-2021 17:00,47.8
2581,25-01-2021 17:00,25-01-2021 17:15,60.6
2582,25-01-2021 17:15,25-01-2021 17:30,71.4
2583,25-01-2021 17:30,25-01-2021 17:45,None
2584,25-01-2021 17:45,25-01-2021 18:00,74.2
2585,25-01-2021 18:00,25-01-2021 18:15,88
2586,25-01-2021 18:15,25-01-2021 18:30,None
2587,25-01-2021 18:30,25-01-2021 18:45,80
2588,25-01-2021 18:45,25-01-2021 19:00,85.1
2589,25-01-2021 19:00,25-01-2021 19:15,90.4
2590,25-01-2021 19:15,25-01-2021 19:30,105.9
2591,25-01-2021 19:30,25-01-2021 19:45,108.5
2592,25-01-2021 19:45,25-01-2021 20:00,None
2593,25-01-2021 20:00,25-01-2021 20:15,117.9
2594,25-01-2021 20:15,25-01-2021 20:30,99.6
2595,25-01-2021 20:30,25-01-2021 20:45,97.3
2596,25-01-2021 20:45,25-01-2021 21:00,78.1
2597,25-01-2021 21:00,25-01-2021 21:15,66.7
2598,25-01-2021 21:15,25-01-2021 21:30,72.2
2599,25-01-2021 21:30,25-01-2021 21:45,86
2600,25-01-2021 21:45,25-01-2021 22:00,67.5
2601,25-01-2021 22:00,25-01-2021 22:15,73.8
2602,25-01-2021 22:15,25-01-2021 22:30,74.6
2603,25-01-2021 22:30,25-01-2021 22:45,68.5
2604,25-01-2021 22:45,25-01-2021 23:00,63.2
2605,25-01-2021 23:00,25-01-2021 23:15,None
2606,25-01-2021 23:15,25-01-2021 23:30,40.2
2607,25-01-2021 23:30,25-01-2021 23:45,None
2608,25-01-2021 23:45,26-01-2021 00:00,None
2609,26-01-2021 00:00,26-01-2021 00:15,34.7
2610,26-01-2021 00:15,26-01-2021 00:30,35.2
2611,26-01-2021 00:30,26-01-2021 00:45,37.4
2612,26-01-2021 00:45,26-01-2021 01:00,35.2
2613,26-01-2021 01:00,26-01-2021 01:15,29.2
2614,26-01-2021 01:15,26-01-2021 01:30,29.7
2615,26-01-2021 01:30,26-01-2021 01:45,31
2616,26-01-2021 01:45,26-01-2021 02:00,28.2
2617,26-01-2021 02:00,26-01-2021 02:15,27.1
2618,26-01-2021 02:15,26-01-2021 02:30,27.7
